,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_center,work_day,smooth_family,cycle_time,workdata_id,owner,product_id,version,planning_approval_id
63,1048206,2023-01-11 10:38:00.700736,2023-01-11 10:38:00.700736,Marwa,Marwa,False,,2023-01-11 10:38:00.700736,2023-01-11 10:38:00.700736,Marwa,15,105,2023-03-31,1,10.72,4487,officiel,25,4,143
64,1048207,2023-01-11 10:38:00.710714,2023-01-11 10:38:00.710714,Marwa,Marwa,False,,2023-01-11 10:38:00.710714,2023-01-11 10:38:00.710714,Marwa,15,105,2023-04-03,1,10.72,4493,officiel,25,4,143
65,1048208,2023-01-11 10:38:00.720568,2023-01-11 10:38:00.720568,Marwa,Marwa,False,,2023-01-11 10:38:00.720568,2023-01-11 10:38:00.720568,Marwa,15,105,2023-04-04,1,10.72,4494,officiel,25,4,143
66,1048209,2023-01-11 10:38:00.730979,2023-01-11 10:38:00.730979,Marwa,Marwa,False,,2023-01-11 10:38:00.730979,2023-01-11 10:38:00.730979,Marwa,15,105,2023-04-05,1,10.72,4495,officiel,25,4,143
67,1048210,2023-01-11 10:38:00.740660,2023-01-11 10:38:00.740660,Marwa,Marwa,False,,2023-01-11 10:38:00.740660,2023-01-11 10:38:00.740660,Marwa,15,105,2023-04-06,1,10.72,4496,officiel,25,4,143
68,1048211,2023-01-11 10:38:00.750545,2023-01-11 10:38:00.750545,Marwa,Marwa,False,,2023-01-11 10:38:00.750545,2023-01-11 10:38:00.750545,Marwa,15,105,2023-04-07,1,10.72,4497,officiel,25,4,143
69,1048212,2023-01-11 10:38:00.760841,2023-01-11 10:38:00.760841,Marwa,Marwa,False,,2023-01-11 10:38:00.760841,2023-01-11 10:38:00.760841,Marwa,15,105,2023-04-10,1,10.72,4498,officiel,25,4,143
70,1048213,2023-01-11 10:38:00.770537,2023-01-11 10:38:00.770537,Marwa,Marwa,False,,2023-01-11 10:38:00.770537,2023-01-11 10:38:00.770537,Marwa,15,105,2023-04-11,1,10.72,4499,officiel,25,4,143
71,1048214,2023-01-11 10:38:00.780682,2023-01-11 10:38:00.780682,Marwa,Marwa,False,,2023-01-11 10:38:00.780682,2023-01-11 10:38:00.780682,Marwa,15,105,2023-04-12,1,10.72,4500,officiel,25,4,143
72,1048215,2023-01-11 10:38:00.780682,2023-01-11 10:38:00.780682,Marwa,Marwa,False,,2023-01-11 10:38:00.780682,2023-01-11 10:38:00.780682,Marwa,15,105,2023-04-13,1,10.72,4501,officiel,25,4,143
