,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,startTime,endTime,date,FTEhourByDay,ExtraHour,Absenteeism_ratio,Unproductiveness_ratio,Efficienty_ratio,owner,product_id
79,3572,2022-09-27 23:01:39.159811,2022-09-27 23:01:39.159811,Marwa,Marwa,False,,2022-09-27 23:01:39.159811,2022-09-27 23:01:39.159811,Marwa,06:00:00,22:00:00,2022-10-21,16.0,0.0,1.0,1.0,1.0,officiel,16
80,3596,2022-09-27 23:08:54.743331,2022-09-27 23:08:54.743331,Marwa,Marwa,False,,2022-09-27 23:08:54.743331,2022-09-27 23:08:54.743331,Marwa,06:00:00,22:00:00,2022-11-21,16.0,0.0,1.0,1.0,1.0,officiel,16
81,3597,2022-09-27 23:08:54.767331,2022-09-27 23:08:54.767331,Marwa,Marwa,False,,2022-09-27 23:08:54.767331,2022-09-27 23:08:54.767331,Marwa,06:00:00,22:00:00,2022-11-22,16.0,0.0,1.0,1.0,1.0,officiel,16
82,3598,2022-09-27 23:08:54.783340,2022-09-27 23:08:54.783340,Marwa,Marwa,False,,2022-09-27 23:08:54.783340,2022-09-27 23:08:54.783340,Marwa,06:00:00,22:00:00,2022-11-23,16.0,0.0,1.0,1.0,1.0,officiel,16
83,3599,2022-09-27 23:08:54.807332,2022-09-27 23:08:54.807332,Marwa,Marwa,False,,2022-09-27 23:08:54.807332,2022-09-27 23:08:54.807332,Marwa,06:00:00,22:00:00,2022-11-24,16.0,0.0,1.0,1.0,1.0,officiel,16
84,3600,2022-09-27 23:08:54.823333,2022-09-27 23:08:54.823333,Marwa,Marwa,False,,2022-09-27 23:08:54.823333,2022-09-27 23:08:54.823333,Marwa,06:00:00,22:00:00,2022-11-25,16.0,0.0,1.0,1.0,1.0,officiel,16
85,3494,2022-09-27 22:06:46.869553,2022-09-27 22:06:46.869553,Marwa,Marwa,False,,2022-09-27 22:06:46.869553,2022-09-27 22:06:46.869553,Marwa,06:00:00,22:00:00,2022-09-19,16.0,0.0,1.0,1.0,1.0,officiel,16
86,3495,2022-09-27 22:06:46.893481,2022-09-27 22:06:46.893481,Marwa,Marwa,False,,2022-09-27 22:06:46.893481,2022-09-27 22:06:46.893481,Marwa,06:00:00,22:00:00,2022-09-20,16.0,0.0,1.0,1.0,1.0,officiel,16
87,3496,2022-09-27 22:06:46.917489,2022-09-27 22:06:46.917489,Marwa,Marwa,False,,2022-09-27 22:06:46.917489,2022-09-27 22:06:46.917489,Marwa,06:00:00,22:00:00,2022-09-21,16.0,0.0,1.0,1.0,1.0,officiel,16
88,3497,2022-09-27 22:06:46.933488,2022-09-27 22:06:46.933488,Marwa,Marwa,False,,2022-09-27 22:06:46.933488,2022-09-27 22:06:46.933488,Marwa,06:00:00,22:00:00,2022-09-22,16.0,0.0,1.0,1.0,1.0,officiel,16
89,3498,2022-09-27 22:06:46.949489,2022-09-27 22:06:46.949489,Marwa,Marwa,False,,2022-09-27 22:06:46.949489,2022-09-27 22:06:46.949489,Marwa,06:00:00,22:00:00,2022-09-23,16.0,0.0,1.0,1.0,1.0,officiel,16
90,3573,2022-09-27 23:02:25.018001,2022-09-27 23:02:25.018001,Marwa,Marwa,False,,2022-09-27 23:02:25.018001,2022-09-27 23:02:25.018001,Marwa,06:00:00,22:00:00,2022-10-24,16.0,0.0,1.0,1.0,1.0,officiel,16
91,3574,2022-09-27 23:02:25.042002,2022-09-27 23:02:25.042002,Marwa,Marwa,False,,2022-09-27 23:02:25.042002,2022-09-27 23:02:25.042002,Marwa,06:00:00,22:00:00,2022-10-25,16.0,0.0,1.0,1.0,1.0,officiel,16
92,3575,2022-09-27 23:02:25.062808,2022-09-27 23:02:25.062808,Marwa,Marwa,False,,2022-09-27 23:02:25.062808,2022-09-27 23:02:25.062808,Marwa,06:00:00,22:00:00,2022-10-26,16.0,0.0,1.0,1.0,1.0,officiel,16
93,3576,2022-09-27 23:02:25.072015,2022-09-27 23:02:25.072015,Marwa,Marwa,False,,2022-09-27 23:02:25.072015,2022-09-27 23:02:25.072015,Marwa,06:00:00,22:00:00,2022-10-27,16.0,0.0,1.0,1.0,1.0,officiel,16
94,3577,2022-09-27 23:02:25.087993,2022-09-27 23:02:25.087993,Marwa,Marwa,False,,2022-09-27 23:02:25.096017,2022-09-27 23:02:25.096017,Marwa,06:00:00,22:00:00,2022-10-28,16.0,0.0,1.0,1.0,1.0,officiel,16
95,3601,2022-09-27 23:09:38.170815,2022-09-27 23:09:38.170815,Marwa,Marwa,False,,2022-09-27 23:09:38.170815,2022-09-27 23:09:38.170815,Marwa,06:00:00,22:00:00,2022-11-28,16.0,0.0,1.0,1.0,1.0,officiel,16
96,3602,2022-09-27 23:09:38.194814,2022-09-27 23:09:38.194814,Marwa,Marwa,False,,2022-09-27 23:09:38.194814,2022-09-27 23:09:38.194814,Marwa,06:00:00,22:00:00,2022-11-29,16.0,0.0,1.0,1.0,1.0,officiel,16
97,3603,2022-09-27 23:09:38.218883,2022-09-27 23:09:38.218883,Marwa,Marwa,False,,2022-09-27 23:09:38.218883,2022-09-27 23:09:38.218883,Marwa,06:00:00,22:00:00,2022-11-30,16.0,0.0,1.0,1.0,1.0,officiel,16
98,3604,2022-09-27 23:10:08.522498,2022-09-27 23:10:08.522498,Marwa,Marwa,False,,2022-09-27 23:10:08.522498,2022-09-27 23:10:08.522498,Marwa,06:00:00,22:00:00,2022-12-01,16.0,0.0,1.0,1.0,1.0,officiel,16
99,3605,2022-09-27 23:10:08.554453,2022-09-27 23:10:08.554453,Marwa,Marwa,False,,2022-09-27 23:10:08.554453,2022-09-27 23:10:08.554453,Marwa,06:00:00,22:00:00,2022-12-02,16.0,0.0,1.0,1.0,1.0,officiel,16
