,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
59,,2110,107,980941518,IS0028165M,107B-800VU-COA-40,KD,1,13/04/2023,24/04/2023,None,,nan,None,A210702056,,20.71,4.0,prod,0.0,2,2023-04-24,,,False,not_freezed,21101072NaT,
60,,2110,107,980941519,IS0028165M,107B-800VU-COA-40,KD,1,26/04/2023,04/05/2023,None,,nan,None,A210702057,,20.71,4.0,prod,0.0,2,2023-05-04,,,False,not_freezed,21101072NaT,
61,,2110,107,980842121,IS0028165M,107B-800VU-COA-40,KD,1,30/05/2023,06/06/2023,None,,nan,None,A210702058,,20.71,4.0,prod,0.0,2,2023-06-06,,,False,not_freezed,21101072NaT,
62,,2110,107,982025058,IS0028165M,107B-800VU-COA-40,KD,1,02/06/2023,09/06/2023,None,,nan,None,A210702059,,20.71,4.0,prod,0.0,2,2023-06-09,,,False,not_freezed,21101072NaT,
63,,2110,107,981575280,IS0028108M,107A-800VU-COA-40,KD,1,12/06/2023,19/06/2023,None,,nan,None,A110702060,,20.71,4.0,prod,0.0,2,2023-06-19,,,False,not_freezed,21101072NaT,
64,,2110,107,981136488,IS0028165M,107B-800VU-COA-40,KD,1,20/06/2023,27/06/2023,None,,nan,None,A210702061,,20.71,4.0,prod,0.0,2,2023-06-27,,,False,not_freezed,21101072NaT,
65,,2110,107,981265155,IS0028165M,107B-800VU-COA-40,KD,1,03/07/2023,10/07/2023,None,,nan,None,A210702062,,20.71,4.0,prod,0.0,2,2023-07-10,,,False,not_freezed,21101072NaT,
66,,2110,107,981298383,IS0028165M,107B-800VU-COA-40,KD,1,12/07/2023,20/07/2023,None,,nan,None,A210702063,,20.71,4.0,prod,0.0,2,2023-07-20,,,False,not_freezed,21101072NaT,
67,,2110,107,981498470,IS0028165M,107B-800VU-COA-40,KD,1,14/08/2023,21/08/2023,None,,nan,None,A210702064,,20.71,4.0,prod,0.0,2,2023-08-21,,,False,not_freezed,21101072NaT,
68,,2110,107,981664824,IS0028165M,107B-800VU-COA-40,KD,1,24/08/2023,31/08/2023,None,,nan,None,A210702065,,20.71,4.0,prod,0.0,2,2023-08-31,,,False,not_freezed,21101072NaT,
69,,2110,107,981880020,IS0028165M,107B-800VU-COA-40,KD,1,05/09/2023,12/09/2023,None,,nan,None,A210702066,,20.71,4.0,prod,0.0,2,2023-09-12,,,False,not_freezed,21101072NaT,
