,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,material,plan_date,element,data_element_planif,message,needs,qte_available,date_reordo,supplier,customer,product_id,planning_approval_id,element_stock_stkcli,plan_date_week,plan_date_month,plan_date_year,plan_date_year_week,plan_date_year_month
142,236506,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511288,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
145,236509,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511290,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
148,236512,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511292,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
151,236515,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511294,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
154,236518,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511295,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
157,236521,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511300,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
160,236524,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511303,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
163,236527,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511308,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
166,236530,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511310,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
169,236533,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511312,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
172,236536,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,Marwa,False,Marwa,2023-01-18 11:12:42.275375,2023-01-18 11:12:42.275375,Marwa,IS0023355M,2022-06-09,StkCli,A310511313,,0.0,0.0,,,C57600,25,144,true,23,6,2022,2022-W23,2022-M6
